Emplyee name,Will be retrenched
Abbey Schindler,0
Abe J Macleod,0
Abe Morales,0
Abe X Paro,0
Abram Q Keffer,0
Abram S Manrique,0
Adalberto W Creek,1
Adam B Katzer,0
Adelaide L Harrop,1
Adele M Burnam,0
Adelia Abbas,0
Adelia U Villagomez,0
Adell W Trower,0
Adella U Foushee,0
Adelle E Brunner,0
Adria M Melendrez,0
Adriana O Medved,0
Agnes Blow,0
Agnes D Doud,0
Ahmad V Lynde,0
Ahmed C Minch,0
Ahmed I Strope,0
Ahmed V Lease,0
Aiko Blossom,0
Aileen F Hiltz,0
Aileen Hiltz,0
Akiko S Godby,0
Al Fegley,0
Alanna L Tyrell,0
Albert Z Dunford,0
Alda F Penning,0
Alden Cauley,0
Alden Y Cauley,0
Alease Lander,0
Alease Y Lander,0
Alec Mcnees,0
Aleisha H Mathew,0
Alesia B Bear,0
Alexis C Amaral,0
Alexis D Bonelli,0
Alexis Q Grose,1
Alfonzo Knupp,0
Alfred L Strausbaugh,0
Alina L Prowell,0
Alise Baltzell,0
Alise O Baltzell,0
Alisha D Coppock,0
Aliza X Sammons,0
Allen L Vachon,0
Allene T Lepe,0
Alline V Kushner,0
Allyn O Farrior,1
Allyson I Ours,0
Almeda M Dunford,0
Alonzo W Stanford,0
Alphonso Laffoon,0
Alphonso U Laffoon,0
Alysia Basil,0
Amada J Knouse,0
Amado C Bonet,0
Amelia H Burbank,0
America V Lobel,1
Amiee Z Chaffins,1
Analisa X Birdsell,0
Andre Q Maxon,0
Andrea Rhymes,0
Andreas L Kennard,0
Andreas T Viles,0
Andres P Towles,0
Andres S Garner,0
Andrew D Hersey,0
Andrew Detweiler,1
Andrew P Detweiler,0
Andria Z Reza,0
Angel F Palomino,0
Angel Ferebee,0
Angela P Lorenzen,0
Angelo B Fitzmaurice,0
Anibal F Pieper,0
Anisha Jasmin,0
Annabelle E Encinas,0
Annette Jolin,0
Antone Polston,0
Antone W Polston,0
Archie Blair,0
Arden B Fujita,0
Arlen F Maly,0
Arlen Joly,0
Arlen M Joly,0
Arlen Z Vanslyke,0
Armando H Seaborn,0
Armida Bridwell,0
Arnoldo D Mckeen,0
Aron Durante,0
Arron R Vegas,0
Arturo N Halvorsen,0
Asa E Kunze,1
Ashanti R Swim,0
Ashlie G Cadena,0
Asley F Mcewan,0
Astrid Marinelli,0
Astrid R Marinelli,0
Asuncion X Braunstein,0
Audrea B Prather,0
Audrea K Papineau,0
Audria W Barrios,0
Audrie X Mccammon,0
August C Navarette,1
August C Strother,0
August F Dones,0
Augusta G Kircher,0
Aundrea W Lundberg,0
Aurelio K Wyckoff,0
Austin Janney,0
Ayako Bachmann,0
Ayako L Bachmann,0
Barak Sali,0
Barrie Collman,0
Barrie E Collman,0
Bart B Gilcrease,0
Beatrice A Knopf,0
Beatrice Coen,0
Beatrice T Coen,0
Bell N Molinaro,1
Belva Fitzwater,0
Ben Gigliotti,0
Ben Lagrange,0
Ben N Lamson,0
Ben U Gigliotti,0
Benedict B Wix,0
Benedict U Daye,0
Bennie E Manfredi,1
Benny S Brinker,1
Berna Z Stoller,0
Bernard A Harbert,0
Bernard Harbert,0
Bernard N Weatherly,0
Bernarda E Gervais,0
Bernardina X Roesch,0
Bernardo I Garzon,0
Bernardo X Barbee,0
Bernie M Kish,1
Bert Q Lauritzen,0
Bert S Kinkade,0
Bertha E Harbison,0
Beryl Helsel,0
Bethann Marini,0
Bill Tarkington,0
Billie Liang,0
Birdie Savoy,0
Blanch Y Mysliwiec,0
Bo E Curlee,0
Bobbie P Chumley,0
Bobbie Q Holbrook,0
Bobbie S Miner,0
Bobbie X Schoenrock,0
Bong M Alvares,0
Bonny Poor,0
Bonny S Poor,0
Boris A Mccown,0
Brad I Pattison,0
Bradford K Marlatt,0
Brande Sevier,0
Brendon E Mone,1
Brendon J Camp,0
Brendon V Crowther,0
Brent U Perlman,0
Brenton U Boyett,0
Bret C Delancey,0
Brett Z Vadnais,0
Bridget D Spadaro,1
Bridget Rake,0
Brigitte D Fendley,0
Britt P Shivers,0
Britt Shivers,0
Bruna R Welke,0
Bryan J Stampley,0
Bryan V Guyton,0
Bryanna Pyron,0
Bryant L Kinsman,0
Bryce B Edens,0
Buck H Rancourt,1
Buck Rancourt,0
Bud Kistner,0
Bud L Lofgren,0
Bud Lofgren,0
Buddy G Steinbeck,0
Buddy W Lofgren,0
Buford Q Giancola,0
Bula Reich,0
Burton C Jin,0
Caleb Luther,0
Cameron A Chamberland,1
Cameron Chamberland,0
Cameron K Gratton,0
Candelaria Q Zajicek,1
Candelaria Zajicek,1
Carey J Sandlin,0
Carey N Mccready,0
Carl M Paddock,0
Carlo B Ali,0
Carlos Banh,0
Carlotta T Ryles,1
Carlton P Bose,0
Carlton P Mahurin,0
Carly L Sirianni,0
Carmelia E Bergeron,1
Carmelia R Lattimer,0
Carmen F Barret,0
Carmen U Benbow,0
Carmon A Howlett,0
Carolin T Loya,0
Carolina B Pasillas,0
Carolynn V Moynihan,0
Carrol Arend,0
Carrol O Arend,0
Carter B Hilderbrand,0
Carter C Hunt,0
Casey D Krier,0
Cassaundra K Polito,0
Cayla Mealy,0
Cecil Teixeira,0
Cecily D Houser,0
Cedric N Cavallo,1
Cedrick Engelhardt,0
Cedrick K Engelhardt,0
Cedrick M Cordle,0
Celesta L Reeser,0
Celestine H Alderson,0
Celinda C Magruder,0
Celine Baskin,0
Chadwick I Hargreaves,0
Charity N Denman,0
Charles S Nicholes,0
Charlie Moxley,0
Charlie V Koeller,0
Chase J Paradise,0
Chase Paradise,0
Chase T Scurry,0
Chau R Barron,0
Chauncey Southerland,0
Chaya W Caudle,0
Chere Patchett,0
Cheree Lusk,0
Chester N Sitz,0
Chi S Clopton,0
Ching D Applegate,0
Chris Braggs,0
Chrissy H Edmonson,0
Christena Kratz,0
Christene Blakemore,0
Christene F Blakemore,1
Christene L Mccaleb,0
Christi H Amaker,0
Christie Rodger,1
Christoper K Manzano,0
Chung J Moynihan,0
Cicely W Colton,0
Cindie T Madden,0
Clara B Sifuentes,0
Clarence Hinkson,0
Clarence J Hinkson,0
Claretta D Wingert,0
Clark Spence,0
Claudio Q Bien,0
Clemente S Wiechmann,0
Clemmie F Montague,0
Cleveland A Zinke,0
Cleveland Franko,0
Cleveland W Franko,0
Cliff Skipworth,1
Clint Q Orear,0
Clint Q Strayhorn,0
Clint Strayhorn,0
Clinton Tschida,0
Clotilde Mason,0
Clotilde X Mason,0
Clyde P Ponton,0
Cole Dellinger,0
Cole M Dellinger,0
Cole N Poling,1
Colin V Likens,0
Colleen B Lenihan,0
Colton B Salzman,0
Colton Salzman,0
Conrad R Saito,0
Conrad Saito,0
Cordell M Tweedy,0
Cordell Riche,0
Cordia M Knopp,0
Corey F Stowe,0
Corina U Korhonen,0
Cortez F Espiritu,0
Coy I Gentner,0
Cristal Q Kucharski,0
Cristi T Clem,0
Crystal Comes,0
Crystal U Comes,0
Curtis E Quayle,0
Cyndy Ary,0
Cyndy H Ary,0
Cythia I Stecker,0
Daina U Ledet,0
Dale Childers,0
Dale E Childers,0
Damian F Mcgaughey,0
Damian X Grist,0
Damien A Izquierdo,0
Dane Lawrence,0
Danette A Kuykendall,0
Daniel L Nava,0
Danilo Hammes,0
Danilo S Hammes,0
Darcel P Burford,0
Darin Keitt,0
Darin U Shipp,0
Darren U Shoulders,0
Darron Tittle,0
Darwin W Lemoine,0
Davida A Funkhouser,0
Davis Z Gaylor,0
Dawna T Woodbury,0
Dawne Y Gardner,0
Dayna M Edmondson,0
Deandre U Groleau,0
Deane I Keown,0
Deanna P Scoggin,1
Debbie C Lipsey,0
Debrah X Flury,0
Dee Joslyn,1
Deeanna E Cluck,0
Delana I Selfridge,0
Delana Y Freedman,0
Delfina O Day,0
Delphine P Carpio,0
Delsie R Tennison,0
Demarcus Recio,0
Denis T Yelle,0
Denis Y Fehr,0
Dennis K Cayer,0
Deon U Mounce,0
Derick A Macey,0
Derrick Culbreth,0
Deshawn O Mankin,0
Desirae D Ginn,0
Desirae Ginn,0
Desiree L Sobel,0
Detra D Rymer,1
Devin Hales,1
Devin U Hales,0
Dewayne X Groom,0
Dian I Peachey,0
Digna Q Eck,1
Dion K Taylor,0
Dion Taylor,0
Don Southwick,0
Donald H Mazur,0
Donald P Phaneuf,0
Dong B Sturdevant,0
Dong Sturdevant,0
Donna R Woodrum,0
Donnell Babbitt,0
Donte H Granger,0
Donya G Rodden,0
Dorethea U Engram,0
Doria Z Crouse,0
Dorla G Westberry,0
Dorothea J Canterbury,0
Dorothy Gard,0
Dorothy Q Gard,0
Dortha Z Harty,0
Dottie D Hagaman,0
Dottie Hagaman,0
Doug B Southwick,0
Douglas Cull,0
Dovie F Larue,0
Dovie Nickerson,0
Dovie U Nickerson,0
Doyle Grindstaff,0
Doyle N Utter,0
Doyle T Grindstaff,0
Doyle Utter,1
Drucilla Simkins,0
Dudley G Slocum,0
Dudley Slocum,0
Dulce E Grizzard,1
Dulce Grizzard,0
Duncan O Maheu,0
Dustin Y Espey,0
Dusty L Kugler,0
Dwain O Upham,0
Dwain Upham,0
Dwayne Marker,0
Dwayne W Marker,0
Earlean Funke,0
Earlean Y Funke,0
Earnest H Birkholz,0
Eartha Z Oceguera,0
Ed Shockley,0
Ed X Shockley,0
Eda O Brase,0
Edgar Teer,0
Edmund K Masuda,0
Edmund Mcclung,1
Edmundo R Rew,0
Edra M Guthrie,0
Effie Jelinek,0
Efrain L Wass,0
Efrain Moats,0
Efren G Ager,0
Ela K Hames,1
Eladia A Braggs,0
Elaine B Randazzo,0
Eldridge B Bose,1
Eldridge Bose,0
Eldridge M Benningfield,0
Eleanor D Dickson,0
Eleanora Farthing,0
Elease H Burger,0
Elenor B Gibbs,0
Elenora S Whitehill,0
Elenora V Halley,0
Eleonora Pollard,0
Eleonora S Pollard,0
Elias Pinkard,0
Elias Y Pinkard,0
Elijah P Elkin,0
Elijah X Ahmad,0
Eliz R Linneman,0
Elliott Chess,0
Ellis J Mccune,0
Ellis V Mcneel,0
Elmo G Pagano,0
Elois Z Ono,0
Eloise Demoss,0
Eloise Z Demoss,0
Elroy Kimbler,0
Elroy L Shorts,0
Elroy N Kimbler,0
Elsie S Depaz,0
Elsy B Latta,1
Elsy Beyer,0
Elvis J Stroh,1
Elvis Stroh,0
Elvis Veiga,1
Elwood T More,0
Emeline I Richer,0
Emery P Sorrells,0
Emiko Z Lolley,0
Emile Aponte,0
Emma Dice,0
Emma Monti,0
Emma X Monti,0
Emmanuel G Chamorro,0
Emmitt X Plante,0
Employees,0
Ena Mullins,0
Ena Thor,0
Enda Kirchner,0
Eric C Irvine,0
Erica S Harlan,0
Erik W Steffen,0
Erin K Stclair,0
Erin L Jasmin,0
Ernestine E Fludd,0
Ernestine Fludd,0
Esmeralda N Veliz,0
Estella E Miley,0
Etsuko O Wilmot,0
Ettie S Stilwell,0
Eveline B Strecker,0
Evon Q Lawson,0
Ewa B Staples,0
Exie C Bradham,0
Ezequiel N Shell,0
Ezra Calvert,0
Fabian Say,0
Faustino Scheffel,0
Fawn Buckman,0
Fe A Schrock,0
Federico B Edmond,0
Federico Edmond,0
Federico I Carlile,0
Felisha Q Ettinger,0
Felix S Croker,0
Femi Grek,0
Ferdinand Ramsdell,0
Fermin L Zapata,0
Fernando Korhonen,0
Fernando S Korhonen,1
Forest Z Blewett,0
Forest Z Hacker,0
Forrest Q Zell,0
Francis O Encarnacion,0
Frank O Mallon,0
Frankie I Speed,0
Franklyn V Hummell,0
Freddie C Headen,0
Freddy A Rolling,0
Freddy Rolling,0
Fredericka J Varney,0
Gabriel E Pearsall,1
Gabriel S Beale,0
Galina G Woodbury,0
Garland J Verville,0
Garland Z Leavell,0
Garnett Dryer,1
Garret Flakes,0
Garrett Nolette,1
Garrett S Nolette,1
Gavin V Mckillip,0
Gearldine Stolte,0
Gema S Grover,0
Gemma I Chilton,0
Genaro Lukasik,0
George U Clouser,0
Georgiann C Harrell,0
Georgiann Harrell,0
Gerardo Q Bergen,0
Geri M Tuthill,0
Gerry D Woolery,0
Gerry Harvey,0
Gerry X Koh,0
Gertrud B Glidden,0
Gertrud Glidden,0
Gia M Casas,0
Gidget X Loring,0
Gilbert M Wolfgram,0
Gilbert Z Bloss,0
Gilberto U Greaves,0
Giovanna M Clift,0
Giuseppe D Chouinard,0
Giuseppina Dagostino,0
Giuseppina E Fink,0
Giuseppina N Dagostino,0
Glady Q Kump,0
Glenn N Vinyard,0
Glenn Vinyard,0
Gracie P Lett,0
Grady Y Perera,0
Graham O Romeo,0
Gregorio H Hottinger,0
Gregory I Kidwell,0
Grisel R Whitty,1
Grisel Sutton,0
Grover Mcgahey,0
Guillermo X Schwan,0
Gustavo F Rouse,0
Guy S Troy,0
Gwyn E Etzel,0
Gwyn Etzel,0
Gwyn I Parish,0
Gwyn N Mitzel,0
Hai Y Arden,0
Hal K Kells,0
Hal Kells,0
Haley G Bova,0
Hannah K Ma,0
Hans G Koh,0
Harland S Renshaw,1
Harriett A Mccurry,0
Hassan Radabaugh,0
Hayden E Novack,0
Hayden J Jang,0
Heath Aikin,0
Heath Fell,0
Heath K Fell,0
Herb B Irving,0
Heriberto Rollo,0
Heriberto Starkey,0
Heriberto Y Starkey,0
Herlinda U Negron,0
Hermila X Crosslin,0
Hester B Cabana,0
Hettie S Lauber,0
Hiram K Stokely,0
Holley M Cathcart,0
Holli G Ethridge,0
Hollis Z Carr,0
Homer Hollowell,0
Honey D Eaves,1
Hong M Townson,1
Horace Hobart,0
Horacio S Salazar,0
Hosea B Michelson,0
Houston K Joe,0
Hoyt O Reiss,0
Hubert L Kirkland,0
Hugh N Chavira,0
Hui Bizzell,0
Hui E Bizzell,0
Hung H Nicola,0
Hyun M Gloss,0
Hyun Z Bynoe,0
Iliana Fogle,0
Iliana M Fogle,0
Ilse X Harr,0
Ingeborg Z Weisser,0
Inger Gillan,0
Inocencia Z Buteau,1
Irene Ellerbee,0
Irving C Pillar,0
Irwin River,0
Isaac O Dempster,0
Isaac Tsan,0
Isabella X Russell,0
Isaiah G Parrish,0
Isaiah Y Magwood,0
Isiah S Coppock,0
Isiah Wilkie,0
Isis F Hash,0
Isis N Rufus,0
Isobel K Dance,0
Israel T Hertzler,0
Isreal F Metoyer,0
Isreal Metoyer,0
Ivan A Groner,0
Izetta B Alford,0
Izola E Ye,0
Jacinda X Michalec,0
Jacinta Y Cheney,0
Jack J Warfel,0
Jack Partin,0
Jackie P Montague,0
Jackie Sachs,0
Jae B Isabell,0
Jaleesa I Averett,0
Jamaal Resto,0
Jamaal Z Resto,1
Jamal G Dimarco,0
Jamel Meaney,1
Jamey S Seim,0
Jamison Crutchfield,0
Jamison U Crutchfield,0
Janean A Tyler,0
Janessa M Drennen,0
Janie P Caswell,1
Jaquelyn C Holzman,0
Jarred C Class,0
Jarred Class,0
Jason V Gravois,0
Jasper P Barnaby,0
Jayme B Shimer,0
Jayson S Carrol,1
Jazmin Wheless,0
Jc Meyers,0
Jc S Meyers,0
Jeanetta N Norden,0
Jeanna U Li,0
Jeff E Lucero,0
Jeff Mallon,0
Jeff W Zacarias,0
Jefferey Folkerts,0
Jefferson N Thurman,0
Jeffery A Brafford,0
Jeffrey Berg,0
Jenell S Sauers,0
Jeneva Y Bybee,0
Jennefer Ours,0
Jenni Olguin,1
Jennifer Z Pridgen,0
Jeramy F Metoyer,0
Jeramy T Londono,0
Jeremiah Harriss,0
Jeremiah N Curran,0
Jeremy Belew,0
Jerlene P Dunnigan,0
Jerome P Whitefield,0
Jerome Spangler,0
Jerome Whitefield,0
Jerrell Mcfarlin,0
Jerri Dunkle,0
Jesus E Mclelland,0
Jesus H Guillen,0
Jesus Tafolla,0
Jewel R Willhite,0
Jillian Harry,0
Jim J Lurie,0
Jimmie A Rorie,0
Jimmie Esqueda,0
Jimmie F Vasquez,0
Jimmy Canaday,0
Joanie N Folkerts,0
Joanna Deforest,0
Joanna H Deforest,0
Joanna M Sandefur,0
Joannie E Wolters,0
Joaquin Vaz,0
Jocelyn Q Scotti,1
Jody K Rude,1
Jody Slavens,0
Joel S Maine,0
Joesph Y Shrout,0
Johnie Centers,0
Johnie V Centers,0
Jolanda Dewees,1
Jolanda L Dewees,0
Joleen H Chea,0
Joline Frisby,0
Jon Arvizu,1
Jon Behler,0
Jong Borchers,0
Jong U Borchers,0
Jordan D Phu,0
Jordan Phu,1
Jorge R Coghlan,0
Jose P Tubbs,0
Josette Betancourt,0
Josette R Betancourt,0
Josiah R Gutierres,0
Josie Hofman,0
Judith D Gourdine,0
Judith Gourdine,0
Judson Y Hodson,0
Jules Shugart,0
Julio Bryce,0
Julio Dockery,0
Julio P Bryce,0
Julio P Dockery,0
Julius N Bakker,0
Julius Q Stock,1
Junita Huhn,0
Junita Y Huhn,0
Kaci Whitacre,0
Kacy Cairns,0
Kali Kennamer,0
Kandis Owenby,0
Karie Renninger,0
Karima Metivier,0
Karisa B Glidewell,0
Karisa Glidewell,0
Karl O Langlinais,0
Karlene L Mckean,0
Kasi Blakeslee,0
Kassie Akers,0
Kassie Q Binder,1
Kate O Paull,0
Katelin F Coney,0
Katheryn Holtzclaw,0
Katia Foran,0
Katie N Kinnison,1
Kaye Tubbs,0
Keenan W Spruell,0
Keila A Lucas,1
Keila F Lofland,0
